distFD_cruda_m;distFI_cruda_m;distMin_cruda_m;distFD_EMA_m;distFI_EMA_m;distMin_EMA_m;pred_kalman_m;dist_kalman_m;K_kalman;P_kalman;AvanceLineal_m;timestamp_s
0.098353;0.098353;0.098353;0.098341;0.098359;0.098341;0.098346;0.098345;0.227008;0.000341;0.0;23.328
0.098341;0.098385;0.098341;0.098325;0.098394;0.098325;0.09834;0.098337;0.227008;0.000341;0.0;23.456
0.098313;0.098372;0.098313;0.098347;0.09838;0.098347;0.098356;0.098354;0.227008;0.000341;0.0;23.584
0.098342;0.09844;0.098342;0.098371;0.098379;0.098371;0.09835;0.098354;0.227008;0.000341;0.0;23.712
0.098413;0.09835;0.09835;0.098421;0.098328;0.098328;0.09834;0.098337;0.227008;0.000341;0.0;23.84
0.098381;0.098311;0.098311;0.09834;0.098353;0.09834;0.098341;0.098341;0.227008;0.000341;0.0;23.968
0.098322;0.098337;0.098322;0.098381;0.098401;0.098381;0.098363;0.098367;0.227008;0.000341;0.0;24.096
0.098369;0.098327;0.098327;0.098345;0.098344;0.098344;0.098357;0.098354;0.227008;0.000341;0.0;24.224
0.098467;0.098342;0.098342;0.098383;0.098295;0.098295;0.098325;0.098318;0.227008;0.000341;0.0;24.352
0.098481;0.098296;0.098296;0.098393;0.098342;0.098342;0.098337;0.098338;0.227008;0.000341;0.0;24.48
0.09828;0.098384;0.09828;0.098342;0.098337;0.098337;0.098332;0.098333;0.227008;0.000341;0.0;24.608
0.098315;0.09831;0.09831;0.098303;0.098342;0.098303;0.098327;0.098321;0.227008;0.000341;0.0;24.736
0.098514;0.098404;0.098404;0.098434;0.098346;0.098346;0.098324;0.098329;0.227008;0.000341;0.0;24.864
0.098379;0.098441;0.098379;0.098371;0.098344;0.098344;0.098315;0.098322;0.227008;0.000341;0.0;24.992
0.098317;0.0983;0.0983;0.098335;0.098373;0.098335;0.098336;0.098336;0.227008;0.000341;0.0;25.12
0.09829;0.098418;0.09829;0.098309;0.098411;0.098309;0.098327;0.098323;0.227008;0.000341;0.0;25.248
0.098508;0.098404;0.098404;0.098396;0.098377;0.098377;0.098332;0.098342;0.227008;0.000341;0.0;25.376
0.098341;0.098357;0.098341;0.098347;0.098394;0.098347;0.098347;0.098347;0.227008;0.000341;0.0;25.504
0.098267;0.09845;0.098267;0.098377;0.098388;0.098377;0.098351;0.098357;0.227008;0.000341;0.0;25.632
0.098235;0.098177;0.098177;0.098301;0.098271;0.098271;0.098332;0.098319;0.227008;0.000341;0.0;25.76
0.098233;0.098265;0.098233;0.098339;0.098306;0.098306;0.098312;0.098311;0.227008;0.000341;0.0;25.888
0.098379;0.098488;0.098379;0.098338;0.098363;0.098338;0.098304;0.098312;0.227008;0.000341;0.0;26.016
0.098291;0.098317;0.098291;0.098367;0.098373;0.098367;0.098354;0.098357;0.227008;0.000341;0.0;26.144
0.098351;0.098401;0.098351;0.098374;0.098387;0.098374;0.098363;0.098365;0.227008;0.000341;0.0;26.272
