PoseX_m;PoseY_m;PosePhi_rad;IndiceWaypoint;WP_X_m;WP_Y_m;DistWaypoint_m;ErrorAngular_rad;EstadoArbitro;timestamp_s
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;19.104
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;19.232
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;19.36
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;19.488
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;19.616
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;19.744
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;19.872
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;20.0
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;20.128
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;20.256
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;20.384
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;20.512
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;20.64
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;20.768
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;20.896
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;21.024
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;21.152
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;21.28
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;21.408
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;21.536
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;21.664
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;21.792
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;21.92
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;22.048
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;22.176
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;22.304
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;22.432
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;22.56
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;22.688
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;22.816
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;22.944
