ps0_FD;ps1_DD;ps2_LD;ps3_TD;ps4_TI;ps5_LI;ps6_DI;ps7_FI;Theta_Izq_rad;Theta_Der_rad;DeltaS_Izq_m;DeltaS_Der_m;AvanceLineal_m;GiroAngular_rad;VelLineal_ms;VelAngular_rads;timestamp_s
66.513477;68.814387;67.456822;69.327822;66.346068;66.321871;65.044261;67.919622;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;160.032
67.409628;69.979762;61.371232;60.628067;71.246035;62.897983;72.198998;76.72374;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;160.16
60.14332;72.820099;64.77702;68.107266;68.130418;68.359372;63.615583;64.989857;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;160.288
64.152791;66.59474;70.325279;65.340183;68.890283;66.698371;63.998197;78.02805;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;160.416
67.500468;72.667852;68.966524;67.137347;62.468026;72.246689;72.459677;68.623583;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;160.544
65.004997;72.685492;70.014418;64.49003;71.527764;69.721964;70.208185;64.100561;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;160.672
68.013637;70.18614;75.363757;63.161766;70.093702;67.585929;65.608983;63.497124;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;160.8
65.940395;75.699744;67.003033;61.028882;67.800403;71.833486;59.435571;68.016313;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;160.928
74.259156;67.112869;69.355534;70.129361;72.953814;63.982;64.478765;65.254955;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;161.056
69.493407;69.15074;66.377409;66.00538;64.610889;71.130083;69.646793;71.879498;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;161.184
64.65805;64.709027;69.715682;66.62207;68.558281;66.482054;57.811281;63.577246;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;161.312
69.106835;70.863844;71.292155;63.686806;69.528701;60.828659;70.326682;69.551592;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;161.44
64.053671;66.732444;64.214889;64.054706;67.720971;63.316194;65.138154;72.291346;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;161.568
61.958778;62.648656;69.329078;63.654393;67.999851;69.450935;66.259852;62.240382;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;161.696
58.314582;68.670917;70.960705;62.218448;72.314851;66.843849;67.373505;69.80606;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;161.824
63.965975;63.041703;70.852787;60.872907;69.116695;65.289797;66.888189;60.510171;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;161.952
65.465241;68.047462;65.937493;61.897453;70.247478;69.955379;67.229482;70.297248;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;162.08
71.831267;74.576565;67.51097;63.007467;71.619059;65.60394;70.030227;72.860455;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;162.208
65.208722;61.319985;67.36007;71.237354;67.242747;70.991212;66.431653;64.363375;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;162.336
64.150139;65.486359;65.419585;65.483904;70.810576;67.43418;70.595711;70.432847;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;162.464
64.392203;66.628484;71.663426;67.200625;72.401023;71.155595;65.899902;65.73131;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;162.592
64.29832;64.265304;62.379996;68.598163;66.165648;66.710688;63.479906;64.506375;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;162.72
66.435701;68.894878;63.560437;64.81067;63.230953;63.784305;72.865351;65.334355;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;162.848
67.392344;68.117959;68.369466;68.975485;63.259278;64.456105;66.325559;72.701367;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;162.976
67.803249;69.190974;72.353165;70.961677;66.431858;70.384054;69.89958;74.787774;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;163.104
68.856938;67.712527;60.82939;64.289024;66.375119;64.43248;67.800721;61.040076;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;163.232
66.206506;60.314522;64.000649;61.658687;64.504302;64.027684;71.275534;67.671193;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;163.36
68.824923;66.69067;66.583884;70.303349;63.05166;68.758638;68.303218;67.617803;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;163.488
66.251597;66.062876;68.946445;60.026014;70.191153;69.391289;61.622444;70.87876;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;163.616
63.949285;67.431581;73.297508;65.427019;67.244813;68.231848;72.412684;66.978447;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;163.744
71.414771;64.386039;69.725255;72.283627;64.37843;60.607116;63.294563;67.630522;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;163.872
66.725747;66.978853;68.503655;65.383838;66.999896;65.656167;65.025383;64.626677;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;164.0
71.435379;68.589405;69.446742;68.507785;63.612901;65.950613;64.330896;67.859056;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;164.128
64.552138;69.847928;66.678804;67.104765;66.993149;69.263704;68.036723;66.816093;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;164.256
